"id","name","name"
"CI11030","Canavieiras","Brazil"
"CI11042","Correntina","Brazil"
"CI11043","Calandala","Angola"
"CI11046","Agua Preta","Brazil"
"CI11052","Rio das Pedras","Brazil"
"CI11061","Osvaldo Cruz","Brazil"
"CI11064","Esperanca","Brazil"
"CI11067","Gandu","Brazil"
"CI11070","Curralinho","Brazil"
"CI11072","Camabatela","Angola"
"CI11075","Sungo","Angola"
"CI11079","Presidente Figueiredo","Brazil"
"CI11088","Nova Esperanca","Angola"
"CI11090","Mandaguari","Brazil"
"CI11097","Cururupu","Brazil"
"CI11100","Paratinga","Brazil"
"CI11103","Sao Jose do Belmonte","Brazil"
"CI11104","Cangola","Angola"
"CI11106","Jaguariaiva","Brazil"
"CI11110","Cangandala","Angola"
"CI11115","Barreirinha","Brazil"
"CI11122","Cacuso","Angola"
"CI11130","Guararapes","Brazil"
"CI11133","Sao Raimundo Nonato","Brazil"
"CI11142","Jaguaruana","Brazil"
"CI11143","Buco Zau","Angola"
"CI11145","Joao Camara","Brazil"
"CI11152","Qazyan","Azerbaijan"
"CI11160","Colider","Brazil"
"CI11166","Gurupa","Brazil"
"CI11169","Marialva","Brazil"
"CI11177","Sahil","Azerbaijan"
"CI11178","Igrejinha","Brazil"
"CI11179","Alto-Cuilo","Angola"
"CI11181","Ruy Barbosa","Brazil"
"CI11185","Qazyan","Azerbaijan"
"CI11190","Ubajara","Brazil"
"CI11192","Lubalo","Angola"
"CI11200","Bolongongo","Angola"
"CI11201","Moncao","Brazil"
"CI11207","Irituia","Brazil"
"CI11209","Qazmalar","Azerbaijan"
"CI11210","Exu","Brazil"
"CI11216","Ouro Fino","Brazil"
"CI11222","Santa Fe do Sul","Brazil"
"CI11223","Bala Cangamba","Angola"
"CI11225","Aracoiaba da Serra","Brazil"
"CI11228","Barrinha","Brazil"
"CI11233","Aliabad","Azerbaijan"
"CI11237","Araguatins","Brazil"
"CI11240","Parambu","Brazil"
"CI11242","Ipora","Brazil"
"CI11245","Guanhaes","Brazil"
"CI11252","Qizilhacili","Azerbaijan"
"CI11254","Brasilia de Minas","Brazil"
"CI11257","Flores da Cunha","Brazil"
"CI11273","Portao","Brazil"
"CI11276","Itabela","Brazil"
"CI11279","Muritiba","Brazil"
"CI11290","Matoes","Brazil"
"CI11293","Nova Russas","Brazil"
"CI11297","Nazare da Mata","Brazil"
"CI11303","Joao Alfredo","Brazil"
"CI11304","Tangua","Brazil"
"CI11306","Rangapukur","Bangladesh"
"CI11310","Bela Cruz","Brazil"
"CI11313","Cabrobo","Brazil"
"CI11320","Barura","Bangladesh"
"CI11322","Capela","Brazil"
"CI11323","Chauddagram","Bangladesh"
"CI11330","Minas Novas","Brazil"
"CI11334","Estrela","Brazil"
"CI11339","Jose Maria Ezeiza","Argentina"
"CI11340","Guaira","Brazil"
"CI11344","Novo Cruzeiro","Brazil"
"CI11347","Catole do Rocha","Brazil"
"CI11349","Juquitiba","Brazil"
"CI11358","Afonso Claudio","Brazil"
"CI11370","Pinhao","Brazil"
"CI11385","Irara","Brazil"
"CI11388","Campo Alegre de Lourdes","Brazil"
"CI11391","Pitanga","Brazil"
"CI11397","Carinhanha","Brazil"
"CI11400","Paripiranga","Brazil"
"CI11405","Mocajuba","Brazil"
"CI11406","Bhandaria","Bangladesh"
"CI11408","Capim","Brazil"
"CI11409","Nawabganj","Bangladesh"
"CI11413","Rancharia","Brazil"
"CI11414","Sripur","Bangladesh"
"CI11425","Nazare","Brazil"
"CI11427","Villa Luzuriaga","Argentina"
"CI11428","Capim Grosso","Brazil"
"CI11432","Prainha","Brazil"
"CI11434","Raharpur","Bangladesh"
"CI11435","Floresta","Brazil"
"CI11442","Ciudad General Belgrano","Argentina"
"CI11443","Sherpur","Bangladesh"
"CI11444","Santa Quiteria do Maranhao","Brazil"
"CI11449","Braco do Norte","Brazil"
"CI11456","Daganbhuiya","Bangladesh"
"CI11460","Ezpeleta","Argentina"
"CI11461","Lohagara","Bangladesh"
"CI11468","Itaperucu","Brazil"
"CI11471","Bagre","Brazil"
"CI11473","Sonagazi","Bangladesh"
"CI11474","Limoeiro de Anadia","Brazil"
"CI11486","Carapo","Brazil"
"CI11489","Goio-Ere","Brazil"
"CI11492","Santa Rita de Cassia","Brazil"
"CI11497","Ibaiti","Brazil"
"CI11498","Char Fasson","Bangladesh"
"CI11510","Passira","Brazil"
"CI11512","Kishmat Dhanbari","Bangladesh"
"CI11519","Quijingue","Brazil"
"CI11522","Oeiras do Para","Brazil"
"CI11523","Villa Alsina","Argentina"
"CI11524","Nalchiti","Bangladesh"
"CI11530","Sakhipur","Bangladesh"
"CI11534","Imbituva","Brazil"
"CI11535","Dock Sur","Argentina"
"CI11537","Conceicao da Barra","Brazil"
"CI11542","Panchari Bazar","Bangladesh"
"CI11549","Luis Correia","Brazil"
"CI11555","Pedras de Fogo","Brazil"
"CI11558","Olindina","Brazil"
"CI11559","Harinakunda","Bangladesh"
"CI11564","Tres Marias","Brazil"
"CI11568","Santa Cruz Cabralia","Brazil"
"CI11569","Don Bosco","Argentina"
"CI11570","Ipubi","Brazil"
"CI11571","Faradabad","Bangladesh"
"CI11573","Bujaru","Brazil"
"CI11576","Gameleira","Brazil"
"CI11582","Timbiras","Brazil"
"CI11584","Dois Irmaos","Brazil"
"CI11594","Jaguarao","Brazil"
"CI11603","Guacui","Brazil"
"CI11615","Traipu","Brazil"
"CI11619","Iguai","Brazil"
"CI11622","Lagoa Vermelha","Brazil"
"CI11626","Limoeiro do Ajuru","Brazil"
"CI11637","Padre Bernardo","Brazil"
"CI11640","Ibotirama","Brazil"
"CI11643","Itacare","Brazil"
"CI11649","Piracuruca","Brazil"
"CI11652","Lapao","Brazil"
"CI11655","Coromandel","Brazil"
"CI11658","Miguel Calmon","Brazil"
"CI11664","Marapanim","Brazil"
"CI11667","Lagoa Seca","Brazil"
"CI11670","Tracuateua","Brazil"
"CI11673","Novo Oriente","Brazil"
"CI11676","Barcelos","Brazil"
"CI11679","Itai","Brazil"
"CI11688","Santana do Paraiso","Brazil"
"CI11691","Ourilandia do Norte","Brazil"
"CI11694","Ubata","Brazil"
"CI11713","Mundo Novo","Brazil"
"CI11732","Aripuana","Brazil"
"CI11735","Ibimirim","Brazil"
"CI11738","Miracema","Brazil"
"CI11741","Buritizeiro","Brazil"
"CI11742","Klimavichy","Belarus"
"CI11744","Candido Sales","Brazil"
"CI11749","El Talar de Pacheco","Argentina"
"CI11754","Solanea","Brazil"
"CI11760","Hantsavichy","Belarus"
"CI11770","Santo Antonio do Taua","Brazil"
"CI11771","La Reja","Argentina"
"CI11776","Nova Esperanca","Brazil"
"CI11779","Planalto","Brazil"
"CI11789","Veranopolis","Brazil"
"CI11792","Mirassol d'Oeste","Brazil"
"CI11801","Redencao","Brazil"
"CI11805","Campos Sales","Brazil"
"CI11813","Agua Azul do Norte","Brazil"
"CI11823","Caririacu","Brazil"
"CI11826","Canarana","Brazil"
"CI11835","Itaiba","Brazil"
"CI11850","Iacu","Brazil"
"CI11853","Aracoiaba","Brazil"
"CI11856","Taquari","Brazil"
"CI11859","Itapuranga","Brazil"
"CI11865","Cocal","Brazil"
"CI11871","Ponta de Pedras","Brazil"
"CI11875","Moortebeek","Belgium"
"CI11877","Mimoso do Sul","Brazil"
"CI11882","La Calera","Argentina"
"CI11883","Nova Soure","Brazil"
"CI11886","Triunfo","Brazil"
"CI11891","Prata","Brazil"
"CI11901","Sao Miguel do Iguacu","Brazil"
"CI11904","Xaxim","Brazil"
"CI11907","Panelas","Brazil"
"CI11927","Sao Jose do Norte","Brazil"
"CI11936","Senador Pompeu","Brazil"
"CI11948","Areia Branca","Brazil"
"CI11954","Pitangui","Brazil"
"CI11960","Eloi Mendes","Brazil"
"CI11972","Piranhas","Brazil"
"CI11974","Reserva","Brazil"
"CI11978","Icatu","Brazil"
"CI11987","Uaua","Brazil"
"CI11992","Piritiba","Brazil"
"CI11996","Vila do Conde","Brazil"
"CI12010","Francisco Sa","Brazil"
"CI12014","Araquari","Brazil"
"CI12017","Campo Magro","Brazil"
"CI12020","Anastacio","Brazil"
"CI12023","Sarandi","Brazil"
"CI12029","Sao Joaquim","Brazil"
"CI12032","Junqueiro","Brazil"
"CI12042","Marco","Brazil"
